id	name	code	hsn	tax_pct
3452	SURF EXCEL MATIC TOP LOAD 3.2L	8901030695438	NA	18.00
3453	LUX BODY WASH SANDAL WOOD 245ML	8901030682261	34013019	18.00
3454	STK CHOCO BAR MINI 30ML	8901030677601	21050000	18.00
3455	CUP VANILLA SUPREME 90ML	8901030650314	21050000	18.00
3456	KISSAN JUICY MANGO	8901030634468	20089911	12.00
3457	TAJ MAHAL 25 TEA BAG	8901030631009	09024040	5.00
3458	TAJMAHAL 100TEA BAGS  220/-	8901030624230	09024040	18.00
3459	PONDS YOUTH MIRACLE 12G	8901030576621	33049910	18.00
3460	CUP TWO IN ONE 90ML	8901030557781	21050000	18.00
3461	MANGO DUET	8901030548666	21050000	18.00
3462	CUP  KESAR PISTA 90ML	8901030543128	21050000	12.00
3463	CUP  CHOCOLATE 90ML	8901030543081	21050000	18.00
3464	CUP BUTTERSCOTCH 90ML	8901030543067	321050000	18.00
3465	VASELION RADIANCE LOTION	8901030540448	33041000	18.00
3466	VASELINE FLAWLESS GLOW LOTION	8901030540424	33041000	18.00
3467	VIM GEL 200ML	8901030538421	34025000	18.00
3468	FEAST CADBURY CRACKLE 70ML	8901030538162	21050000	18.00
3469	BRU 10/-	8901030538032	21011120	18.00
3470	SUNLIGHT MATIC LQ 2L	8901030537950	34025000	18.00
3471	KISSAN TOMATO KETCHUP 65/-	8901030532832	21032000	12.00
3472	KISSAN TOMETO KETCHUP 120/-	8901030532719	21032000	12.00
3473	PONDS TALC 250G	8901030531897	33049120	18.00
3474	BROWEN & POLSON CORNFLOUR 500G	8901030521218	11081200	12.00
3475	BROWN &POLSON CORNFLOUR 100G	8901030518591	11081200	12.00
3476	GODREJ BURGUDY RICH CREME	8901023031410	33059040	0.00
3477	GODREJ NATURAL BROWN 11ML	8901023031403	33059040	18.00
3478	GODREJ NATURAL BLACK RICE CREME	8901023031359	33059040	0.00
3479	GODREG  RICH CREME BLACK BROWN	8901023031298	33059040	18.00
3480	HIT ANTI ROACH GEL 15GM	8901023030802	38089199	18.00
3481	GOOD NIGHT COIL	8901023030314	38089191	18.00
3482	GOOD NIGHT AGARBATTI 1	8901023029813	38089191	5.00
3483	GOOD NIGHT AGARBATTI	8901023029806	33074100	5.00
3484	GODRAJ FAB LIQUID DETERGENT	8901023029721	34022010	18.00
3485	AERO ROSE BLOSSOM 7.5G	8901023029578	33079090	18.00
3486	AERO MUSK AFTER SMOKE 7.5G	8901023029561	33079090	18.00
3487	AERO COOL AQUR  7.5G	8901023029554	33079090	18.00
3488	GODREJ SELFIE SHAMPOO 15/-	8901023029486	NA	18.00
3489	GODREJ BLACK HAIR COLOR 15/-	8901023028748	NA	18.00
3490	GOODRAJ SANDAL TURMERIC	8901023028670	34011190	5.00
3491	GODRAJ LIME ALOE VERA	8901023028656	34011190	18.00
3492	CINTHOL BLACK 10/-	8901023028526	34011190	18.00
3493	CINTHOL COOL SOAP 10/-	8901023028519	34011190	18.00
3494	CINTHOL LIME SOAP 10/-	8901023028502	NA	18.00
3495	GODREJ POWER POCKET LOMON  10G	8901023028434	33074900	18.00
3496	GOOD KNIGHT 45ML	8901023026508	NA	18.00
3497	GODREJ POWER POCKET JASMINE 10G	8901023025846	33074900	18.00
3498	GOODREJ POWER POCKET LAVENDER 10G	8901023025181	33074900	18.00
3499	GOOD KNIGHT FABRIC ROLL -ON  MILD BLOOM	8901023025044	38089191	18.00
3500	GODRAJ GERM FIGHTER REFILL  PACK	8901023024108	34013019	18.00
3501	GODREJ HAND WASH REFILL	8901023024092	34013090	18.00
3502	GODRAJ MAGIC HAND WASH	8901023023927	34013019	18.00
3503	GODRAJ HAND WASH LIME & ALOVERA	8901023023460	34011190	18.00
3504	GOOD NIGHT MACHINE 4 PIS	8901023022968	38089191	18.00
3505	CINTHOL HEALTH SOAP 100	8901023022494	34011190	18.00
3506	GOOD NIGHT FLASH 2 REFILL	8901023019739	38089191	18.00
3507	GOOD KNIGHT LIQUDE 45ML	8901023019722	380891	18.00
3508	GOOD KNIGHT MACHINE	8901023019715	380891	18.00
3509	GOODRAJ HAND WASH NEEM & ALOEVERA	8901023018190	34011190	18.00
3510	FABRIC roll on good night	8901023016790	38089191	18.00
3511	GOOD KNIGHT FABRIC ROLL -ON	8901023015021	38089191	18.00
3512	GODREJ BRIGHT TANGY DELIGHT	8901023013638		18.00
3513	GODREJ AER SPPRAY JASMINE	8901023012877	33074900	18.00
3514	FRESH GLOW SHOP	8901023011368	34011190	18.00
3515	GOOD KNIGHT FAST CARD	8901023011276	38089192	18.00
3516	CINTHOL LIME DEO SOAP	8901023010484	34011190	18.00
3517	CINTHOL COOL40/-	8901023010415	34011190	18.00
3518	GODREG NUPUR HENNA 20G	8901023008566	14049090	18.00
3519	NUPUR HENA 5/-	8901023008221	14049090	18.00
3520	GODREG NO.1 500G	8901023007477	34011190	18.00
3521	GOOD NIGH ALMOND SHOP	8901023007446	34011190	12.00
3522	GOOD NIGHT JASMINE SHOP	8901023007422	34011190	18.00
3523	GOOD NIGH TURMERIC SHOP	8901023007408	34011190	5.00
3524	EZEE 1KG	8901023005824	34025000	18.00
3525	GODRAJ EZEE 500GM	8901023005817	34022010	18.00
3526	GODRAJ EZEE 250GM	8901023005800	34022010	18.00
3527	GODRAJ EZZE WINTERWEAR	8901023005794	34025000	18.00
3528	GODRAJ EZEE LIQUID  5/-	8901023005787	34025000	18.00
3529	GODREJ CLNTHOL ORIGINAL 40/-	8901023000034	34011190	18.00
3530	CUP NDL SEAFOOD70G	8901014012213	19021900	18.00
3531	CUP NDL SP CHCK	8901014004935	19021900	18.00
3532	CUP NDL VEG MNCH	8901014004836	19021900	18.00
