id,code,name,old_hsn,new_hsn,old_mrp,new_mrp,old_sale_price,new_sale_price,old_purchase_price,new_purchase_price,old_tax_pct,new_tax_pct
3544,8901014000166,NISSIN GEKI CHICKEN,19021900,19021900,52.00,52.00,52.00,50.00,42.86,42.86,18.00,5.00
3635,89006290,HAJMOLA ANARDANA BOTTLE 50N,30049011,30049011,28.00,28.00,28.00,28.00,22.50,23.25,18.00,5.00
3637,89004883,HAJMOLA PUDINA BOTTLE 50N,30049011,30049011,30.00,28.00,30.00,28.00,24.15,23.25,18.00,5.00
3638,89004876,HAJMOLA IMLI BOTTLE  50N,30049011,30049011,28.00,28.00,28.00,28.00,23.00,23.25,18.00,5.00
3639,89004869,HAJMOLA REG BOTTLE 50N,30049011,30049011,28.00,28.00,28.00,28.00,23.50,23.25,18.00,5.00
3733,7622202832857,CADBURY CELEBRATIONS  110/-,18069090,18069090,110.00,110.00,110.00,105.00,98.00,100.00,18.00,5.00
3737,7622202820823,CUDBURY FUSE 23G,18063100,18063100,20.00,20.00,20.00,20.00,18.00,17.50,18.00,5.00
3741,7622202819445,CDM CRISPELLO CHOCOLATE,18063200,18063200,10.00,10.00,10.00,10.00,8.00,8.73,18.00,5.00
3742,7622202819339,PARK MR 10/-,19053211,19053211,10.00,10.00,10.00,10.00,8.70,8.73,18.00,5.00
3743,7622202819278,5STEAR 3D 24.7G,18063100,18063100,20.00,20.00,20.00,20.00,17.80,17.86,18.00,5.00
3744,7622202819247,5 STAR OREO 20/-,18063100,18063100,20.00,20.00,20.00,20.00,17.80,17.86,18.00,5.00
3747,7622202818431,FIVESTER 5/-,18063100,18063100,5.00,5.00,5.00,5.00,0.00,4.55,18.00,5.00
3748,7622202818400,CADBARY 5 STAR,18063100,18063100,10.00,10.00,10.00,10.00,9.00,9.09,18.00,5.00
3749,7622202818363,DARRY MILK CHOCOLATE,18063200,18063200,20.00,20.00,20.00,20.00,17.00,17.68,18.00,5.00
3750,7622202818332,DARRY MILK CHOCOLATE 1,18063200,18063200,10.00,10.00,10.00,10.00,8.00,9.09,18.00,5.00
3751,7622202818301,CADBURY 5/-,180632800,180632800,5.00,5.00,5.00,5.00,4.50,4.55,18.00,5.00
3758,7622202373664,CADBURY DAIRY MILK CRISPELLO   20/-,18063200,18063200,20.00,20.00,20.00,20.00,17.10,13.71,18.00,5.00
3762,7622202346385,CDM BIG B 105G RS.98/-,18063200,18063200,98.00,98.00,98.00,98.00,87.40,86.62,18.00,5.00
3771,7622202334511,CADBURY PARK 5/-,19053211,19053211,5.00,5.00,5.00,5.00,4.00,4.41,18.00,5.00
3783,7622202326202,CDM SILK FRUIT&NUT 129G RS.2,18063200,18063200,212.00,214.00,212.00,212.00,191.00,191.07,18.00,5.00
3787,7622202326080,CDM SILK OREO 124G RS 240,18063100,18063100,228.00,214.00,228.00,205.00,190.67,191.07,18.00,5.00
3793,7622202325878,CDM SILK CHOCOLATE  55G RS.95,18063200,18063200,89.00,89.00,89.00,89.00,79.00,79.46,18.00,5.00
3795,7622202324901,DAIRY MILK CHOCOLATE  CRACKLE 36G,18063200,18063200,49.00,49.00,49.00,49.00,43.70,43.75,18.00,5.00
3796,7622202324871,CDM FRUIT & NUT 36G RS.55 MP,18063200,18063200,49.00,49.00,49.00,49.00,41.67,43.75,18.00,5.00
3797,7622202324840,CDM  FRUIT &NUT 75G,18063200,18063200,105.00,107.00,105.00,105.00,95.50,95.54,18.00,5.00
3798,7622202324819,CDM CRACKLE 36G RS.55 MP,18063200,18063200,49.00,49.00,49.00,49.00,43.70,43.75,18.00,5.00
3799,7622202324758,CDM CRISPELLO 28 X 35 G RS.45,18063200,18063200,40.00,40.00,40.00,40.00,35.00,34.29,18.00,5.00
3802,7622202324369,CHOCLAIRS GOLD,,,120.00,120.00,120.00,110.00,100.00,99.13,18.00,5.00
3807,7622202318047,FIVE STAR 33G RS.20,18063100,18063100,20.00,20.00,20.00,20.00,18.53,17.32,18.00,5.00
3825,7622202230257,CADBURY PARK PLUS 20/-,19053211,19053211,20.00,20.00,20.00,20.00,18.00,17.14,18.00,5.00
3834,7622202051647,TANG ORANGE 500G,,,145.00,150.00,145.00,145.00,129.50,129.55,18.00,5.00
3835,7622202051623,TANG MANGO 500G,,,145.00,150.00,145.00,145.00,129.50,129.55,18.00,5.00
3836,7622202051609,TANG LEMON 500G,21069050,21069050,145.00,150.00,145.00,145.00,129.50,129.55,18.00,5.00
3839,7622201763404,TANG MANGO 75G,21069050,21069050,26.00,26.00,26.00,26.00,22.40,22.45,18.00,5.00
3840,7622201763381,TANG LEMON 75G,21069050,21069050,30.00,26.00,30.00,30.00,24.20,22.45,18.00,5.00
3841,7622201763367,TANG ORANGE 75G,21069050,21069050,26.00,26.00,26.00,26.00,22.40,22.45,18.00,5.00
3842,7622201757915,CADBURY DAIRY MILK  SILK 250/-,18063200,18063200,360.00,370.00,360.00,360.00,323.70,330.36,18.00,5.00
3886,4987176388650,HEAD & SHOULDERS 2,330551090,330551090,2.00,2.00,2.00,2.00,1.00,1.46,18.00,18.00
3899,4987176351708,ARIEL PERFECTWASH 10/-,34025000,34025000,10.00,10.00,10.00,10.00,8.40,7.82,18.00,18.00
3914,4987176335142,GILLETTE GURD 52,82122011,82122011,50.00,52.00,50.00,50.00,41.50,31.86,18.00,18.00
3918,4987176324672,WHISPER XL 10PADS,96190010,96190010,66.50,70.00,66.50,66.50,39.76,54.87,18.00,0.00
3920,4987176319524,WHISPER ULTRA 160,,,150.00,160.00,150.00,152.00,120.00,125.41,18.00,0.00
3945,4987176290649,HEAD N SHOULDERS OILY STICKY DANDRUFF 72ML,33051090,33051090,75.05,79.00,75.05,75.05,55.33,58.52,18.00,18.00
3951,4987176280596,GILLETTE MEN 14,82122011,82122011,15.00,15.00,15.00,15.00,10.00,9.76,18.00,18.00
3961,4987176244987,VICKS 50GM,300490,300490,176.70,186.00,176.70,176.70,142.00,142.79,18.00,5.00
3974,4987176191205,VICKS 25GML,300490,300490,96.90,102.00,96.90,96.90,79.30,78.32,18.00,5.00
3979,4987176168405,VICKS BABYRUB 25ML,30049011,30049011,118.75,125.00,118.75,118.75,97.78,91.29,18.00,5.00
3980,4987176168399,VICKS BABYRUB 50ML,30049011,30049011,182.37,201.00,182.37,182.37,168.19,156.81,18.00,5.00
4010,4987176071460,PAMPERS HAPPY SLEEP M,,,98.00,98.00,98.00,93.00,66.33,65.74,12.00,5.00
4011,4987176071446,PAMPERS 93,,,90.00,93.00,90.00,88.35,65.00,62.39,12.00,18.00
4037,42333005,NIVEA PEARL & BEAUTY 25ML,33072000,33072000,110.00,125.00,110.00,110.00,82.90,88.50,18.00,18.00
4038,42332992,NIVEA MEN COOL KICK 25ML,,,106.25,125.00,106.25,110.00,62.50,88.50,18.00,18.00
4052,4005900738509,NIVEA MAN ACNE FACE WASH  50G,34013090,34013090,115.00,129.00,115.00,115.00,94.70,102.75,18.00,18.00
4074,4005808231423,NIVEA MAN DARK SPOT REDUCTION FACE WASH,34013090,34013090,110.00,129.00,110.00,110.00,94.70,102.75,18.00,18.00
4135,667888283545,FUN INK STAMPS,,,50.00,50.00,40.00,40.00,20.00,20.00,18.00,0.00
4140,8901571014262,SENSODYNE PRONAMEL FRESH BREATH,33061020,33061020,140.00,140.00,135.00,135.00,112.00,112.00,18.00,5.00
4141,8901571014248,SENSODYNE PRONAMEL DAILY PROTECTION,33061020,33061020,140.00,140.00,135.00,135.00,112.00,112.00,18.00,5.00
4142,8901058027587,NESTLE CEREGROW MILK & FRUIT 300G,19011090,19011090,299.00,299.00,284.05,284.05,266.08,266.09,18.00,5.00
4143,8901058023305,KITKAT DELIGHTS 112G,19053211,19053211,185.00,185.00,180.00,180.00,160.94,160.94,18.00,5.00
4144,8901719127748,KACCHA MANGOBRITE,19059020,19059020,47.00,47.00,45.00,45.00,40.88,40.89,18.00,5.00
4145,8901719132698,BLUEBERRY FLAVOURED CANDY 198G,17049020,17049020,47.00,47.00,45.00,45.00,39.34,40.88,18.00,5.00
4149,4987176356918,PAMPERS NEW BABY 40PANTS,83907877,83907877,374.00,374.00,355.20,355.20,234.46,234.46,12.00,5.00
4150,4987176303455,PAMPERS S 4-8 KG,96190030,96190030,374.00,374.00,355.30,355.30,238.46,238.46,12.00,5.00
